Model,Release date,Max resolution,Low resolution,Effective pixels,Zoom wide (W),Zoom tele (T),Normal focus range,Macro focus range,Storage included,Weight (inc. batteries),Dimensions,Price
Canon,2000,1600.0,640.0,1.0,35.0,70.0,57.0,10.0,8.0,250.0,87.0,199.0
Canon,2001,1600.0,1024.0,1.0,35.0,70.0,57.0,10.0,8.0,250.0,87.0,199.0
Canon,2004,2048.0,1600.0,3.0,38.0,380.0,10.0,10.0,32.0,469.0,111.0,399.0
Canon,2000,2048.0,1024.0,3.0,32.0,64.0,66.0,12.0,16.0,320.0,106.0,399.0
Canon,2002,1600.0,1024.0,1.0,35.0,70.0,57.0,10.0,8.0,250.0,87.0,199.0
Canon,2002,2048.0,1600.0,3.0,35.0,70.0,47.0,10.0,16.0,250.0,87.0,199.0
Canon,2001,2048.0,1600.0,3.0,35.0,105.0,80.0,10.0,16.0,323.0,112.0,399.0
Canon,2001,1600.0,1024.0,1.0,35.0,105.0,76.0,16.0,8.0,270.0,95.0,199.0
Canon,2002,1600.0,1024.0,1.0,35.0,105.0,76.0,16.0,8.0,274.0,95.0,199.0
Canon,2001,2272.0,1600.0,3.0,35.0,105.0,80.0,10.0,16.0,323.0,112.0,139.0
Canon,2003,2272.0,1600.0,3.0,36.0,108.0,46.0,5.0,32.0,230.0,87.0,139.0
Canon,2004,2272.0,1600.0,3.0,36.0,108.0,0.0,5.0,32.0,215.0,87.0,139.0
Canon,2002,2272.0,1600.0,3.0,35.0,105.0,50.0,10.0,32.0,323.0,112.0,139.0
Canon,2003,2592.0,1600.0,5.0,35.0,105.0,50.0,10.0,32.0,323.0,112.0,399.0
Canon,2004,2592.0,2048.0,5.0,36.0,108.0,0.0,5.0,32.0,215.0,87.0,149.0
Canon,2004,2592.0,1600.0,5.0,28.0,100.0,50.0,4.0,32.0,300.0,114.0,399.0
Canon,2004,3072.0,2592.0,7.0,28.0,100.0,50.0,4.0,32.0,300.0,114.0,399.0
Canon,2005,3264.0,2592.0,8.0,28.0,100.0,50.0,4.0,32.0,290.0,104.0,399.0
Canon,2003,2272.0,1600.0,3.0,38.0,38.0,0.0,3.0,32.0,140.0,90.0,199.0
Canon,2003,2048.0,1600.0,3.0,35.0,70.0,47.0,10.0,16.0,185.0,85.0,199.0
Canon,2007,3072.0,2592.0,7.0,35.0,105.0,0.0,5.0,32.0,175.0,86.0,199.0
Canon,2004,2048.0,1600.0,3.0,35.0,70.0,0.0,10.0,16.0,195.0,85.0,199.0
Canon,2004,2592.0,2048.0,5.0,39.0,39.0,0.0,3.0,32.0,140.0,90.0,199.0
Canon,2004,2048.0,1600.0,3.0,35.0,105.0,0.0,3.0,16.0,135.0,86.0,199.0
Canon,2005,2592.0,2048.0,5.0,38.0,90.0,0.0,10.0,16.0,120.0,96.0,199.0
Canon,2004,2272.0,1600.0,3.0,35.0,105.0,0.0,3.0,16.0,147.0,86.0,199.0
Canon,2006,3072.0,2592.0,7.0,38.0,90.0,0.0,10.0,16.0,120.0,96.0,199.0
Canon,2005,2592.0,2048.0,5.0,35.0,105.0,0.0,3.0,16.0,150.0,86.0,199.0
Canon,2005,2592.0,2048.0,5.0,35.0,105.0,0.0,3.0,16.0,185.0,99.0,199.0
Canon,2005,2592.0,2048.0,5.0,35.0,105.0,0.0,3.0,16.0,155.0,86.0,199.0
Canon,2005,3072.0,2592.0,7.0,37.0,111.0,0.0,5.0,32.0,200.0,90.0,199.0
Canon,2005,3072.0,2592.0,7.0,37.0,111.0,0.0,5.0,32.0,185.0,90.0,199.0
Canon,2006,2816.0,2272.0,6.0,35.0,105.0,30.0,3.0,16.0,170.0,86.0,199.0
Canon,2006,2816.0,2272.0,6.0,35.0,105.0,30.0,3.0,16.0,175.0,90.0,199.0
Canon,2006,2816.0,2272.0,6.0,35.0,140.0,45.0,2.0,16.0,195.0,90.0,384.0
Canon,2007,3072.0,2592.0,7.0,35.0,105.0,0.0,5.0,32.0,170.0,92.0,384.0
Canon,2006,3072.0,2592.0,7.0,28.0,105.0,0.0,3.0,16.0,195.0,90.0,384.0
Canon,2007,3264.0,2272.0,8.0,35.0,140.0,45.0,2.0,32.0,195.0,90.0,384.0
Canon,2007,3264.0,2592.0,8.0,28.0,105.0,45.0,2.0,32.0,165.0,93.0,384.0
Canon,2006,3648.0,2816.0,10.0,37.0,111.0,0.0,5.0,32.0,205.0,91.0,199.0
Canon,2007,4000.0,3264.0,12.0,36.0,133.0,50.0,5.0,32.0,205.0,96.0,384.0
Canon,2007,3264.0,2592.0,8.0,36.0,360.0,50.0,1.0,32.0,316.0,109.0,299.0
Canon,2007,3072.0,2592.0,7.0,39.0,390.0,50.0,10.0,0.0,260.0,89.0,139.0
Casio,2005,2560.0,2048.0,4.0,38.0,190.0,40.0,1.0,7.0,275.0,99.0,249.0
Casio,2004,2816.0,2048.0,5.0,33.0,132.0,40.0,10.0,9.0,275.0,98.0,249.0
Casio,2004,3072.0,2304.0,7.0,33.0,132.0,40.0,10.0,9.0,275.0,98.0,249.0
Casio,2004,2048.0,1600.0,3.0,36.0,102.0,40.0,17.0,9.0,123.0,88.0,249.0
Casio,2003,1600.0,1280.0,1.0,35.0,35.0,80.0,30.0,10.0,100.0,83.0,249.0
Casio,2003,2048.0,1600.0,3.0,35.0,35.0,80.0,80.0,10.0,110.0,90.0,249.0
Casio,2005,2560.0,2304.0,4.0,38.0,114.0,40.0,17.0,8.0,125.0,90.0,249.0
Casio,2005,2816.0,2304.0,6.0,38.0,114.0,40.0,15.0,8.0,155.0,90.0,249.0
Casio,2006,2816.0,2304.0,6.0,38.0,114.0,40.0,15.0,8.0,155.0,90.0,249.0
Casio,2007,3264.0,2816.0,8.0,38.0,114.0,50.0,15.0,10.0,138.0,94.5,249.0
Casio,2007,3072.0,2560.0,7.0,38.0,266.0,30.0,10.0,11.0,190.0,96.0,299.0
Casio,2007,3264.0,2816.0,8.0,38.0,266.0,40.0,10.0,11.0,199.0,96.0,299.0
Casio,2005,2560.0,2304.0,5.0,35.0,114.0,40.0,6.0,8.0,154.0,90.0,329.0
Casio,2006,3648.0,2560.0,10.0,38.0,114.0,40.0,6.0,8.0,185.0,92.0,329.0
Casio,2007,3648.0,2560.0,10.0,38.0,114.0,40.0,10.0,15.0,165.0,91.0,329.0
Casio,2007,3648.0,2560.0,10.0,38.0,114.0,40.0,10.0,11.0,165.0,91.0,329.0
Casio,2005,2816.0,2304.0,6.0,35.0,114.0,40.0,6.0,8.0,151.0,90.0,329.0
Casio,2005,3072.0,2560.0,7.0,38.0,114.0,50.0,10.0,8.0,154.0,90.0,329.0
Casio,2007,4000.0,3264.0,12.0,37.0,111.0,40.0,6.0,11.0,162.0,93.0,329.0
Casio,2003,2048.0,1600.0,3.0,35.0,105.0,40.0,6.0,16.0,170.0,87.0,329.0
Casio,2004,2048.0,1600.0,3.0,35.0,105.0,40.0,6.0,9.0,150.0,87.0,329.0
Casio,2003,2304.0,1600.0,4.0,35.0,105.0,40.0,6.0,16.0,170.0,87.0,329.0
Casio,2004,2304.0,1600.0,4.0,35.0,105.0,40.0,6.0,9.0,150.0,87.0,329.0
Casio,2006,2560.0,2304.0,4.0,38.0,114.0,40.0,10.0,8.0,160.0,95.0,329.0
Casio,2004,2560.0,2048.0,5.0,35.0,105.0,50.0,6.0,9.0,171.0,87.0,329.0
Casio,2005,2560.0,2304.0,5.0,38.0,114.0,40.0,17.0,8.0,127.0,89.0,329.0
Casio,2004,2560.0,2048.0,5.0,35.0,105.0,50.0,6.0,9.0,180.0,87.0,329.0
Casio,2005,2560.0,2048.0,4.0,35.0,105.0,40.0,6.0,9.0,175.0,89.0,199.0
Casio,2006,2816.0,2304.0,6.0,38.0,114.0,40.0,10.0,8.0,148.0,95.0,329.0
Casio,2006,3072.0,2560.0,7.0,38.0,114.0,40.0,10.0,8.0,140.0,95.0,199.0
Casio,2006,3072.0,2560.0,7.0,38.0,114.0,40.0,15.0,8.0,154.0,89.0,329.0
Casio,2007,3072.0,2560.0,7.0,38.0,114.0,40.0,10.0,8.0,156.0,95.0,199.0
Casio,2005,3072.0,2304.0,7.0,38.0,114.0,40.0,10.0,9.0,165.0,89.0,329.0
Casio,2007,3072.0,2560.0,7.0,38.0,114.0,40.0,10.0,11.0,128.0,95.0,199.0
Casio,2006,3072.0,2560.0,7.0,38.0,114.0,40.0,15.0,6.0,176.0,95.0,249.0
Casio,2006,3264.0,2816.0,8.0,38.0,114.0,40.0,10.0,8.0,185.0,89.0,249.0
Casio,2001,1280.0,640.0,1.0,35.0,35.0,60.0,10.0,8.0,320.0,101.0,249.0
Casio,2002,1600.0,800.0,1.0,35.0,35.0,60.0,10.0,8.0,320.0,101.0,249.0
Casio,1999,1600.0,800.0,1.0,36.0,108.0,50.0,20.0,8.0,320.0,130.0,249.0
Casio,2001,1600.0,800.0,1.0,41.0,41.0,80.0,20.0,16.0,260.0,108.0,249.0
Casio,2000,1600.0,800.0,1.0,41.0,123.0,10.0,1.0,8.0,245.0,67.0,249.0
Casio,2001,1600.0,800.0,1.0,41.0,123.0,10.0,1.0,8.0,245.0,67.0,249.0
Casio,2000,1600.0,800.0,1.0,40.0,320.0,40.0,1.0,8.0,295.0,81.0,249.0
Casio,2001,1600.0,800.0,1.0,40.0,320.0,40.0,1.0,8.0,295.0,81.0,249.0
Casio,2000,2048.0,1024.0,3.0,41.0,41.0,50.0,10.0,16.0,245.0,115.0,249.0
Casio,1996,640.0,320.0,0.0,47.0,106.0,60.0,9.0,4.0,290.0,162.0,249.0
Casio,2000,2048.0,1024.0,3.0,33.0,100.0,30.0,6.0,16.0,360.0,134.0,249.0
Casio,2001,2048.0,1024.0,3.0,33.0,100.0,30.0,6.0,16.0,360.0,134.0,249.0
Casio,2001,2240.0,1600.0,3.0,34.0,102.0,30.0,6.0,16.0,420.0,118.0,249.0
Casio,1998,1280.0,640.0,1.0,35.0,35.0,30.0,10.0,8.0,320.0,147.0,249.0
Casio,1999,1280.0,640.0,1.0,36.0,36.0,30.0,10.0,8.0,320.0,131.0,249.0
Casio,2002,2560.0,1600.0,4.0,34.0,102.0,30.0,6.0,16.0,420.0,118.0,249.0
Casio,1997,640.0,0.0,0.0,38.0,38.0,70.0,14.0,4.0,290.0,147.0,249.0
Casio,1998,1280.0,640.0,1.0,32.0,64.0,23.0,10.0,8.0,320.0,141.0,249.0
Casio,1998,640.0,0.0,0.0,38.0,38.0,70.0,14.0,4.0,300.0,129.0,249.0
Casio,1999,1280.0,640.0,1.0,40.0,320.0,40.0,1.0,8.0,320.0,141.0,249.0
Casio,2002,2048.0,1600.0,3.0,38.0,113.0,40.0,14.0,11.0,240.0,90.0,249.0
Casio,2002,2304.0,2240.0,4.0,38.0,113.0,40.0,14.0,11.0,240.0,90.0,249.0
Casio,2003,2304.0,2240.0,4.0,39.0,117.0,60.0,10.0,11.0,210.0,88.0,249.0
Casio,2004,2304.0,2240.0,3.0,39.0,117.0,60.0,10.0,9.0,198.0,88.0,249.0
Casio,2004,2560.0,2048.0,4.0,39.0,117.0,60.0,10.0,9.0,210.0,88.0,249.0
Casio,2004,2816.0,2048.0,6.0,39.0,117.0,70.0,10.0,9.0,218.0,88.0,249.0
Casio,2004,2816.0,2048.0,6.0,39.0,117.0,70.0,10.0,9.0,218.0,88.0,249.0
Contax,2002,2560.0,1600.0,4.0,35.0,105.0,60.0,15.0,0.0,260.0,112.0,549.0
Epson,1999,1600.0,640.0,1.0,38.0,38.0,50.0,15.0,8.0,280.0,113.0,229.0
Epson,1999,1600.0,640.0,1.0,35.0,105.0,0.0,0.0,0.0,280.0,113.0,229.0
Epson,2004,2560.0,1600.0,4.0,34.0,102.0,50.0,5.0,16.0,200.0,92.0,159.0
Epson,2000,2048.0,640.0,3.0,34.0,102.0,50.0,5.0,16.0,360.0,107.0,399.0
Epson,2001,2048.0,1600.0,3.0,34.0,102.0,50.0,5.0,16.0,360.0,107.0,399.0
Epson,1997,640.0,320.0,0.0,43.0,43.0,60.0,20.0,2.0,320.0,142.0,229.0
Epson,1997,640.0,320.0,0.0,43.0,43.0,60.0,10.0,1.0,170.0,107.0,229.0
Epson,1997,1024.0,640.0,0.0,36.0,36.0,50.0,20.0,4.0,270.0,143.0,229.0
Epson,1999,1152.0,640.0,0.0,39.0,39.0,60.0,15.0,8.0,400.0,135.0,229.0
Epson,1998,1280.0,640.0,1.0,35.0,35.0,50.0,10.0,4.0,400.0,135.0,229.0
Epson,1998,1280.0,640.0,1.0,34.0,102.0,80.0,20.0,8.0,400.0,135.0,229.0
Epson,2003,2048.0,1600.0,3.0,34.0,102.0,50.0,11.0,16.0,285.0,105.0,399.0
Epson,2003,2304.0,1600.0,4.0,34.0,102.0,50.0,11.0,16.0,285.0,105.0,129.0
Epson,2004,2304.0,1600.0,4.0,34.0,102.0,50.0,11.0,16.0,203.0,92.0,129.0
Fujifilm,2000,2400.0,1280.0,2.0,36.0,36.0,50.0,6.0,64.0,200.0,85.5,169.0
Fujifilm,2001,2400.0,1600.0,2.0,36.0,36.0,50.0,6.0,64.0,200.0,85.5,169.0
Fujifilm,1999,1280.0,640.0,1.0,35.0,105.0,90.0,25.0,4.0,700.0,100.0,169.0
Fujifilm,1997,1280.0,640.0,1.0,35.0,105.0,20.0,20.0,0.0,700.0,153.0,169.0
Fujifilm,2000,1280.0,640.0,1.0,38.0,38.0,80.0,8.0,8.0,240.0,110.0,169.0
Fujifilm,2001,1600.0,1280.0,1.0,36.0,36.0,80.0,8.0,8.0,240.0,110.0,169.0
Fujifilm,2000,1600.0,1280.0,1.0,38.0,114.0,80.0,10.0,8.0,290.0,125.0,169.0
Fujifilm,2001,1600.0,1280.0,1.0,38.0,114.0,80.0,10.0,16.0,260.0,99.0,169.0
Fujifilm,2002,1600.0,1280.0,1.0,38.0,114.0,80.0,8.0,16.0,235.0,100.0,169.0
Fujifilm,2001,1600.0,1280.0,1.0,38.0,228.0,80.0,10.0,16.0,360.0,95.0,169.0
Fujifilm,2001,1600.0,1280.0,1.0,38.0,38.0,60.0,8.0,16.0,200.0,85.0,199.0
Fujifilm,2002,2048.0,1600.0,3.0,38.0,228.0,80.0,10.0,16.0,400.0,100.0,399.0
Fujifilm,2001,2400.0,1600.0,2.0,36.0,108.0,60.0,20.0,16.0,280.0,80.0,169.0
Fujifilm,2000,2400.0,1600.0,2.0,35.0,210.0,50.0,10.0,16.0,450.0,110.0,169.0
Fujifilm,2001,2832.0,2048.0,3.0,36.0,108.0,60.0,20.0,16.0,280.0,80.0,169.0
Fujifilm,2001,2832.0,2048.0,3.0,35.0,210.0,50.0,10.0,16.0,450.0,110.0,169.0
Fujifilm,2001,1280.0,640.0,1.0,36.0,36.0,80.0,8.0,8.0,190.0,99.0,169.0
Fujifilm,2004,2016.0,1600.0,3.0,38.0,38.0,80.0,9.0,16.0,170.0,102.0,169.0
Fujifilm,2002,1600.0,1280.0,1.0,36.0,36.0,80.0,8.0,16.0,180.0,99.0,169.0
Fujifilm,2001,1600.0,1280.0,1.0,36.0,36.0,80.0,8.0,16.0,190.0,99.0,169.0
Fujifilm,2002,1600.0,1280.0,1.0,38.0,114.0,60.0,10.0,16.0,180.0,97.0,169.0
Fujifilm,2003,1600.0,1280.0,1.0,36.0,108.0,80.0,10.0,16.0,225.0,99.0,169.0
Fujifilm,2003,2048.0,1600.0,3.0,36.0,108.0,80.0,10.0,16.0,225.0,99.0,169.0
Fujifilm,2002,2048.0,1600.0,3.0,38.0,114.0,60.0,10.0,16.0,180.0,97.0,169.0
Fujifilm,2003,2816.0,2048.0,3.0,38.0,114.0,60.0,10.0,16.0,190.0,97.0,169.0
Fujifilm,2004,2016.0,1600.0,3.0,38.0,114.0,60.0,10.0,16.0,160.0,104.0,169.0
Fujifilm,2004,2272.0,1600.0,4.0,38.0,114.0,60.0,10.0,16.0,160.0,104.0,169.0
Fujifilm,2005,2304.0,2048.0,4.0,35.0,105.0,60.0,6.0,16.0,192.0,90.0,169.0
Fujifilm,2005,2592.0,2048.0,5.0,35.0,105.0,60.0,6.0,16.0,192.0,90.0,169.0
Fujifilm,2006,2303.0,1600.0,4.0,38.0,114.0,60.0,10.0,12.0,170.0,93.0,169.0
Fujifilm,2006,2592.0,2048.0,5.0,38.0,114.0,60.0,10.0,12.0,170.0,93.0,169.0
Fujifilm,2006,2848.0,2048.0,6.0,36.0,108.0,50.0,10.0,12.0,195.0,93.0,169.0
Fujifilm,2007,2848.0,2048.0,6.0,39.0,117.0,60.0,10.0,10.0,195.0,98.0,169.0
Fujifilm,2007,3296.0,2304.0,8.0,36.0,108.0,50.0,10.0,10.0,200.0,98.0,169.0
Fujifilm,2007,3296.0,2304.0,8.0,39.0,156.0,60.0,10.0,10.0,205.0,98.0,169.0
Fujifilm,2007,3488.0,2048.0,9.0,39.0,156.0,60.0,10.0,10.0,205.0,98.0,169.0
Fujifilm,2007,3488.0,2592.0,9.0,39.0,156.0,60.0,10.0,10.0,206.0,98.0,169.0
Fujifilm,2004,2304.0,1600.0,4.0,28.0,91.0,60.0,6.0,16.0,226.0,101.0,169.0
Fujifilm,2004,2592.0,2048.0,5.0,28.0,91.0,60.0,2.0,16.0,226.0,101.0,169.0
Fujifilm,2004,4048.0,2048.0,6.0,32.0,130.0,60.0,7.0,16.0,260.0,105.0,169.0
Fujifilm,2005,3488.0,2592.0,9.0,32.0,128.0,60.0,7.0,16.0,260.0,102.0,169.0
Fujifilm,2005,2848.0,2048.0,6.0,36.0,108.0,60.0,8.0,16.0,190.0,92.0,179.0
Fujifilm,2005,2848.0,2048.0,6.0,36.0,108.0,60.0,5.0,16.0,190.0,92.0,199.0
Fujifilm,2006,2848.0,2048.0,6.0,36.0,108.0,60.0,5.0,10.0,190.0,94.0,169.0
Fujifilm,2006,2848.0,2048.0,6.0,36.0,108.0,60.0,5.0,10.0,185.0,93.0,169.0
Fujifilm,2006,2848.0,2048.0,6.0,36.0,108.0,60.0,5.0,26.0,185.0,93.0,199.0
Fujifilm,2002,2304.0,1600.0,2.0,38.0,114.0,60.0,10.0,16.0,200.0,85.0,169.0
Fujifilm,2002,2304.0,1600.0,2.0,39.0,39.0,50.0,6.0,16.0,145.0,77.0,199.0
Fujifilm,2007,3296.0,2304.0,8.0,36.0,108.0,45.0,7.0,25.0,181.0,96.0,199.0
Fujifilm,2003,2816.0,2048.0,3.0,38.0,114.0,60.0,10.0,16.0,205.0,85.0,169.0
Fujifilm,2003,2816.0,2048.0,3.0,36.0,108.0,60.0,8.0,16.0,180.0,77.0,169.0
Fujifilm,2004,2304.0,1600.0,3.0,38.0,130.0,60.0,9.0,16.0,180.0,75.0,169.0
Fujifilm,2004,2592.0,2048.0,5.0,38.0,130.0,60.0,9.0,16.0,180.0,75.0,199.0
Fujifilm,2004,2592.0,2048.0,5.0,38.0,130.0,60.0,9.0,16.0,180.0,93.0,199.0
Fujifilm,2006,2816.0,2048.0,6.0,35.0,105.0,70.0,10.0,16.0,150.0,92.0,169.0
Fujifilm,2007,3264.0,2304.0,8.0,28.0,112.0,40.0,5.0,12.0,170.0,96.0,169.0
Fujifilm,2007,4000.0,2848.0,12.0,35.0,105.0,45.0,7.0,25.0,205.0,93.0,199.0
Fujifilm,2002,2832.0,2048.0,3.0,36.0,108.0,60.0,20.0,16.0,280.0,72.0,169.0
Fujifilm,2003,4048.0,2848.0,6.0,35.0,105.0,60.0,9.0,16.0,205.0,72.0,169.0
Fujifilm,2006,2816.0,2048.0,6.0,36.0,180.0,60.0,3.0,32.0,200.0,105.0,169.0
Fujifilm,2003,2832.0,2048.0,3.0,35.0,105.0,60.0,9.0,16.0,205.0,108.0,169.0
Fujifilm,2004,2832.0,2048.0,3.0,32.0,130.0,60.0,8.0,16.0,225.0,110.0,169.0
Fujifilm,2004,4048.0,2848.0,6.0,32.0,130.0,60.0,7.0,16.0,250.0,110.0,169.0
Fujifilm,2007,3488.0,2592.0,9.0,28.0,300.0,0.0,0.0,0.0,750.0,128.0,169.0
Fujifilm,2002,2832.0,2048.0,3.0,38.0,76.0,60.0,20.0,16.0,280.0,65.0,169.0
Fujifilm,2004,2832.0,2016.0,6.0,35.0,210.0,50.0,1.0,16.0,597.0,121.0,1699.0
Fujifilm,2003,2048.0,1600.0,3.0,38.0,228.0,80.0,10.0,16.0,400.0,100.0,229.0
Fujifilm,2004,2272.0,1600.0,4.0,39.0,234.0,80.0,10.0,16.0,385.0,100.0,229.0
Fujifilm,2003,2816.0,2048.0,3.0,37.0,370.0,90.0,10.0,16.0,430.0,113.0,229.0
Fujifilm,2004,2272.0,1600.0,4.0,37.0,370.0,90.0,10.0,16.0,387.0,113.0,229.0
Fujifilm,2005,2592.0,2048.0,5.0,38.0,380.0,90.0,1.0,16.0,470.0,114.0,229.0
Fujifilm,2007,3072.0,2304.0,7.0,38.0,380.0,30.0,10.0,27.0,406.0,106.0,229.0
Fujifilm,2006,2848.0,2048.0,6.0,28.0,300.0,40.0,10.0,10.0,700.0,131.0,399.0
Fujifilm,2002,2832.0,2048.0,3.0,35.0,210.0,50.0,1.0,16.0,590.0,121.0,399.0
Fujifilm,2002,2832.0,2048.0,3.0,35.0,210.0,50.0,1.0,340.0,590.0,121.0,1699.0
Fujifilm,2003,4048.0,2848.0,6.0,35.0,210.0,50.0,1.0,16.0,590.0,121.0,229.0
Fujifilm,2005,3488.0,2592.0,9.0,28.0,300.0,50.0,1.0,16.0,745.0,128.0,229.0
Fujifilm,2006,3488.0,2592.0,9.0,28.0,300.0,0.0,0.0,0.0,750.0,128.0,229.0
